ride_id,user_id,date,time,hour,day_of_week,pickup_location,drop_location,fare_amount,ride_status,payment_method
QR10029,U273,2023-10-27,12:40:18,12,Friday,Airport,"Hospital District",19.51,Completed,"Credit Card"
QR10030,U452,2023-12-06,17:59:49,17,Wednesday,Airport,"Tech Park",0,Cancelled,"Credit Card"
QR10031,U938,2023-11-23,17:25:02,17,Thursday,"Suburban Residential","Tech Park",26.58,Completed,"Debit Card"
QR10032,U466,2023-11-07,21:06:05,21,Tuesday,Downtown/CBD,"Tech Park",0,Cancelled,"Credit Card"
QR10033,U480,2023-12-09,20:38:20,20,Saturday,"Shopping Mall",Airport,28.05,Completed,UPI
QR10034,U959,2023-10-02,18:10:07,18,Monday,"Central Station","University Campus",34.83,Completed,"Debit Card"
QR10035,U204,2023-11-16,16:03:24,16,Thursday,"Suburban Residential","University Campus",8.44,Completed,Cash
QR10036,U842,2023-12-08,21:07:16,21,Friday,"Suburban Residential","Central Station",29.95,Completed,UPI
QR10037,U468,2023-11-13,10:47:27,10,Monday,Airport,"University Campus",0,Cancelled,"Credit Card"
QR10038,U273,2023-10-24,13:04:51,13,Tuesday,"University Campus","Tech Park",17.06,Completed,Cash
QR10039,U398,2023-11-08,16:57:54,16,Wednesday,Downtown/CBD,Airport,8.53,Completed,Wallet
QR10040,U386,2023-10-03,19:38:48,19,Tuesday,"Central Station","Tech Park",17.72,Completed,"Credit Card"
QR10041,U527,2023-10-25,10:28:23,10,Wednesday,Airport,"Tech Park",0,Cancelled,UPI
QR10042,U930,2023-12-09,20:02:45,20,Saturday,"Central Station","Suburban Residential",20.24,Completed,"Debit Card"
QR10043,U707,2023-11-08,07:06:10,7,Wednesday,"Hospital District","University Campus",18.83,Completed,"Credit Card"
QR10044,U655,2023-10-22,19:55:10,19,Sunday,"University Campus","Tech Park",21.88,Completed,UPI
QR10045,U441,2023-10-13,13:56:24,13,Friday,Airport,"University Campus",0,Cancelled,UPI
QR10046,U809,2023-11-09,13:50:53,13,Thursday,"Shopping Mall",Downtown/CBD,26.15,Completed,UPI
QR10047,U725,2023-12-11,20:18:20,20,Monday,"Tech Park","Suburban Residential",0,Cancelled,"Debit Card"
QR10048,U818,2023-10-15,13:57:33,13,Sunday,"Tech Park","University Campus",14.59,Completed,"Debit Card"
QR10049,U920,2023-11-12,20:06:13,20,Sunday,"Hospital District","Shopping Mall",0,Cancelled,UPI
QR10050,U509,2023-12-13,20:13:25,20,Wednesday,"Central Station","Tech Park",27.25,Completed,Wallet
QR10051,U885,2023-10-03,00:32:32,0,Tuesday,"Shopping Mall","Central Station",21.34,Completed,UPI
QR10052,U491,2023-10-31,02:28:14,2,Tuesday,"Hospital District","Shopping Mall",9.98,Completed,"Debit Card"
QR10053,U418,2023-11-18,23:24:39,23,Saturday,"Tech Park","Hospital District",0,Cancelled,"Credit Card"
QR10054,U580,2023-12-21,06:58:22,6,Thursday,"Central Station",Downtown/CBD,10.73,Completed,"Credit Card"
QR10055,U248,2023-11-16,17:44:14,17,Thursday,"Suburban Residential","Central Station",23.14,Completed,"Credit Card"
QR10056,U852,2023-12-27,22:28:18,22,Wednesday,Airport,"Hospital District",24.64,Completed,"Credit Card"
QR10057,U579,2023-10-26,21:54:58,21,Thursday,"Hospital District",Airport,16.02,Completed,UPI
QR10058,U778,2023-11-06,02:20:43,2,Monday,"Central Station","Hospital District",0,Cancelled,UPI
QR10059,U910,2023-12-06,09:00:17,9,Wednesday,"Tech Park",Downtown/CBD,20.75,Completed,Wallet
QR10060,U140,2023-12-27,08:23:57,8,Wednesday,Downtown/CBD,"Shopping Mall",25.34,Completed,"Credit Card"
QR10061,U232,2023-10-16,07:12:46,7,Monday,"Shopping Mall",Airport,16.01,Completed,"Debit Card"
QR10062,U406,2023-10-01,11:09:41,11,Sunday,Airport,"Suburban Residential",10.01,Completed,Wallet
QR10063,U947,2023-12-29,17:52:02,17,Friday,"Central Station",Downtown/CBD,21.07,Completed,Wallet
QR10064,U308,2023-11-19,10:09:12,10,Sunday,"University Campus",Downtown/CBD,14.95,Completed,UPI
QR10065,U710,2023-11-30,18:22:30,18,Thursday,Airport,"Suburban Residential",0,Cancelled,"Debit Card"
QR10066,U803,2023-11-26,20:49:00,20,Sunday,"Suburban Residential","Shopping Mall",15.76,Completed,Wallet
QR10067,U513,2023-10-06,08:08:26,8,Friday,"University Campus",Airport,8.39,Completed,Cash
QR10068,U290,2023-12-07,14:09:07,14,Thursday,"Suburban Residential",Airport,12.1,Completed,UPI
QR10069,U315,2023-11-21,06:10:21,6,Tuesday,"Tech Park",Downtown/CBD,15.41,Completed,Wallet
QR10070,U946,2023-11-16,17:38:34,17,Thursday,"Suburban Residential","Hospital District",20.16,Completed,UPI
QR10071,U400,2023-11-18,08:48:21,8,Saturday,Downtown/CBD,"Central Station",20.27,Completed,"Credit Card"
QR10072,U873,2023-11-05,19:54:03,19,Sunday,"Central Station","Shopping Mall",28.54,Completed,UPI
QR10073,U987,2023-10-02,13:11:29,13,Monday,"Shopping Mall",Downtown/CBD,24.91,Completed,"Credit Card"
QR10074,U188,2023-12-25,01:17:22,1,Monday,"Tech Park","Central Station",9.86,Completed,"Debit Card"
QR10075,U383,2023-12-29,07:14:27,7,Friday,"Suburban Residential","Shopping Mall",9.64,Completed,"Debit Card"
QR10076,U919,2023-11-23,17:40:41,17,Thursday,Airport,"Hospital District",23.84,Completed,UPI
QR10077,U564,2023-11-29,00:19:56,0,Wednesday,"Hospital District","University Campus",0,Cancelled,UPI
QR10078,U788,2023-11-23,14:15:26,14,Thursday,"University Campus","Hospital District",20.92,Completed,UPI
QR10079,U609,2023-10-18,14:37:48,14,Wednesday,Downtown/CBD,"Central Station",24.56,Completed,Cash
QR10080,U759,2023-10-11,20:12:34,20,Wednesday,Airport,"Suburban Residential",0,Cancelled,UPI
QR10081,U101,2023-11-03,01:35:59,1,Friday,"Suburban Residential",Downtown/CBD,15.05,Completed,Wallet
QR10082,U281,2023-10-13,17:06:43,17,Friday,Airport,"Hospital District",0,Cancelled,"Debit Card"
QR10083,U852,2023-12-23,19:43:52,19,Saturday,Airport,Downtown/CBD,33.82,Completed,"Debit Card"
QR10084,U469,2023-12-18,10:42:19,10,Monday,Airport,"Suburban Residential",17.38,Completed,"Credit Card"
QR10085,U238,2023-11-03,01:25:14,1,Friday,"Shopping Mall","Tech Park",9.65,Completed,UPI
QR10086,U480,2023-11-01,20:21:02,20,Wednesday,"Suburban Residential","Central Station",0,Cancelled,"Credit Card"
QR10087,U301,2023-10-28,16:18:06,16,Saturday,Downtown/CBD,Airport,12.34,Completed,UPI
QR10088,U131,2023-12-03,18:31:30,18,Sunday,"Central Station","Hospital District",36.36,Completed,UPI
QR10089,U296,2023-11-24,11:01:34,11,Friday,"Tech Park","Suburban Residential",8.63,Completed,UPI
QR10090,U938,2023-11-17,17:59:52,17,Friday,"Central Station","Suburban Residential",17.21,Completed,UPI
QR10091,U962,2023-12-18,21:57:45,21,Monday,"Tech Park","Central Station",0,Cancelled,UPI
QR10092,U856,2023-10-02,22:13:18,22,Monday,Airport,"Suburban Residential",0,Cancelled,"Debit Card"
QR10093,U330,2023-12-12,12:07:57,12,Tuesday,"Hospital District","Central Station",0,Cancelled,Cash
QR10094,U650,2023-12-24,21:56:11,21,Sunday,"Suburban Residential",Downtown/CBD,21,Completed,Cash
QR10095,U432,2023-11-19,07:42:44,7,Sunday,"Tech Park","Suburban Residential",15.7,Completed,UPI
QR10096,U188,2023-10-27,20:51:40,20,Friday,"Shopping Mall","Hospital District",29.24,Completed,UPI
QR10097,U842,2023-12-03,22:12:17,22,Sunday,"Shopping Mall","University Campus",0,Cancelled,UPI
QR10098,U132,2023-12-09,14:41:35,14,Saturday,"Tech Park",Downtown/CBD,10.63,Completed,UPI
QR10099,U163,2023-11-17,20:19:11,20,Friday,Airport,"Suburban Residential",32.95,Completed,UPI
QR10100,U354,2023-11-19,21:52:33,21,Sunday,"Hospital District","Suburban Residential",19.98,Completed,UPI
QR10101,U570,2023-10-29,16:48:27,16,Sunday,"Hospital District",Airport,19.51,Completed,"Credit Card"
QR10102,U357,2023-11-19,09:06:57,9,Sunday,"Suburban Residential","Tech Park",27.05,Completed,"Credit Card"
QR10103,U401,2023-10-25,00:58:46,0,Wednesday,"Central Station",Airport,0,Cancelled,"Credit Card"
QR10104,U121,2023-12-27,21:03:55,21,Wednesday,"Central Station","Tech Park",25.07,Completed,UPI
QR10105,U516,2023-11-10,10:57:23,10,Friday,Downtown/CBD,"Suburban Residential",19.3,Completed,Cash
QR10106,U362,2023-10-02,01:37:28,1,Monday,Downtown/CBD,Airport,15.62,Completed,UPI
QR10107,U355,2023-10-01,21:19:48,21,Sunday,"Tech Park",Downtown/CBD,0,Cancelled,Wallet
QR10108,U628,2023-11-30,19:58:24,19,Thursday,"Central Station","Shopping Mall",12.11,Completed,UPI
QR10109,U161,2023-10-17,17:47:42,17,Tuesday,Airport,Downtown/CBD,21.73,Completed,Wallet
QR10110,U171,2023-10-13,15:12:14,15,Friday,"Tech Park","Shopping Mall",15.41,Completed,Wallet
QR10111,U562,2023-12-06,02:36:48,2,Wednesday,Downtown/CBD,"Suburban Residential",0,Cancelled,Cash
QR10112,U352,2023-11-07,23:12:27,23,Tuesday,"Central Station","Suburban Residential",8.45,Completed,UPI
QR10113,U229,2023-10-22,16:33:45,16,Sunday,"University Campus","Hospital District",16.21,Completed,UPI
QR10114,U648,2023-11-28,15:35:22,15,Tuesday,"Shopping Mall",Airport,25.21,Completed,Wallet
QR10115,U501,2023-12-07,07:28:31,7,Thursday,"Shopping Mall","University Campus",14.03,Completed,UPI
QR10116,U321,2023-10-19,17:14:03,17,Thursday,"Shopping Mall","University Campus",0,Cancelled,"Credit Card"
QR10117,U160,2023-11-18,12:17:55,12,Saturday,"Hospital District",Airport,17.21,Completed,UPI
QR10118,U590,2023-11-06,13:27:51,13,Monday,Downtown/CBD,"Shopping Mall",0,Cancelled,"Credit Card"
QR10119,U639,2023-10-30,10:30:49,10,Monday,Airport,"Suburban Residential",24.61,Completed,"Credit Card"
QR10120,U315,2023-12-25,00:45:41,0,Monday,"University Campus","Shopping Mall",25.25,Completed,"Credit Card"
QR10121,U381,2023-11-03,19:32:33,19,Friday,"Tech Park",Downtown/CBD,25.6,Completed,Wallet
QR10122,U703,2023-11-05,16:34:17,16,Sunday,"University Campus","Tech Park",12.2,Completed,UPI
QR10123,U970,2023-12-21,09:05:16,9,Thursday,"Central Station",Downtown/CBD,9.95,Completed,"Credit Card"
QR10124,U201,2023-10-29,20:49:14,20,Sunday,"Central Station","University Campus",25.9,Completed,Wallet
QR10125,U922,2023-10-16,20:03:26,20,Monday,"Central Station","Shopping Mall",21.86,Completed,Cash
QR10126,U836,2023-10-10,02:45:04,2,Tuesday,Airport,"Tech Park",0,Cancelled,UPI
QR10127,U881,2023-12-15,16:32:56,16,Friday,"Hospital District","Tech Park",0,Cancelled,UPI
QR10128,U812,2023-11-02,06:44:28,6,Thursday,"Suburban Residential","Central Station",27.47,Completed,"Credit Card"
QR10129,U403,2023-11-03,12:55:46,12,Friday,Downtown/CBD,"Shopping Mall",27.37,Completed,UPI
QR10130,U707,2023-12-29,09:37:31,9,Friday,"Central Station","Shopping Mall",0,Cancelled,"Debit Card"
QR10131,U838,2023-11-20,15:40:19,15,Monday,"University Campus","Tech Park",23.38,Completed,UPI
QR10132,U796,2023-10-11,18:31:28,18,Wednesday,"Tech Park","University Campus",36.62,Completed,UPI
QR10133,U979,2023-11-25,11:09:48,11,Saturday,"Suburban Residential",Downtown/CBD,8.87,Completed,Cash
QR10134,U724,2023-11-04,18:08:46,18,Saturday,Downtown/CBD,Airport,27.54,Completed,UPI
QR10135,U664,2023-10-18,07:29:58,7,Wednesday,"University Campus","Suburban Residential",22.27,Completed,"Debit Card"
QR10136,U731,2023-10-26,18:04:44,18,Thursday,Downtown/CBD,"Central Station",14.57,Completed,"Credit Card"
QR10137,U579,2023-12-08,15:32:28,15,Friday,"Hospital District","University Campus",0,Cancelled,UPI
QR10138,U344,2023-12-08,19:08:57,19,Friday,"University Campus","Suburban Residential",32.84,Completed,Wallet
QR10139,U463,2023-11-02,16:35:05,16,Thursday,Airport,"University Campus",0,Cancelled,UPI
QR10140,U238,2023-10-13,17:22:40,17,Friday,"Tech Park","University Campus",0,Cancelled,Cash
QR10141,U670,2023-10-14,01:16:18,1,Saturday,"Shopping Mall","Hospital District",8.78,Completed,UPI
QR10142,U145,2023-11-07,11:51:15,11,Tuesday,Downtown/CBD,"Shopping Mall",8.98,Completed,Cash
QR10143,U526,2023-10-23,18:14:37,18,Monday,"Hospital District",Airport,28.47,Completed,"Debit Card"
QR10144,U791,2023-10-19,18:41:28,18,Thursday,Downtown/CBD,Airport,22.3,Completed,Wallet
QR10145,U539,2023-10-20,12:28:04,12,Friday,Airport,"Shopping Mall",0,Cancelled,UPI
QR10146,U117,2023-12-16,01:49:07,1,Saturday,"Hospital District","Suburban Residential",0,Cancelled,Wallet
QR10147,U794,2023-12-02,15:51:33,15,Saturday,"Hospital District",Airport,10.52,Completed,UPI
QR10148,U905,2023-12-21,20:34:43,20,Thursday,"University Campus","Shopping Mall",33.26,Completed,"Credit Card"
QR10149,U448,2023-10-17,18:24:30,18,Tuesday,"Suburban Residential","Hospital District",19.34,Completed,"Debit Card"
QR10150,U501,2023-10-16,23:09:10,23,Monday,"Hospital District",Airport,15.67,Completed,"Credit Card"
QR10151,U448,2023-10-15,16:17:21,16,Sunday,"Hospital District",Airport,0,Cancelled,UPI
QR10152,U378,2023-10-01,01:56:31,1,Sunday,"Shopping Mall","University Campus",15.31,Completed,UPI
QR10153,U602,2023-11-07,23:54:13,23,Tuesday,"Central Station","University Campus",0,Cancelled,UPI
QR10154,U756,2023-11-20,20:16:08,20,Monday,Airport,"Shopping Mall",31.88,Completed,"Credit Card"
QR10155,U194,2023-12-17,23:23:01,23,Sunday,"Shopping Mall",Downtown/CBD,20.89,Completed,UPI
QR10156,U378,2023-10-29,12:00:02,12,Sunday,"Central Station",Airport,21.13,Completed,Cash
QR10157,U324,2023-10-19,23:40:17,23,Thursday,"University Campus",Downtown/CBD,15.95,Completed,"Debit Card"
QR10158,U789,2023-10-18,20:42:37,20,Wednesday,Airport,"Hospital District",0,Cancelled,"Credit Card"
QR10159,U187,2023-10-23,10:53:04,10,Monday,"Central Station",Airport,20.23,Completed,"Debit Card"
QR10160,U656,2023-10-06,15:17:43,15,Friday,"Central Station",Airport,16.85,Completed,UPI
QR10161,U224,2023-11-02,02:31:40,2,Thursday,"Central Station","Suburban Residential",14.6,Completed,Cash
QR10162,U788,2023-11-29,10:53:41,10,Wednesday,"Suburban Residential","Tech Park",20.27,Completed,UPI
QR10163,U197,2023-10-09,19:22:20,19,Monday,"Central Station","Suburban Residential",0,Cancelled,Cash
QR10164,U335,2023-11-12,15:05:29,15,Sunday,"Suburban Residential",Downtown/CBD,18.05,Completed,UPI
QR10165,U600,2023-12-16,17:16:51,17,Saturday,"Hospital District","Central Station",16.15,Completed,"Credit Card"
QR10166,U663,2023-12-21,20:50:56,20,Thursday,"Suburban Residential","University Campus",16.75,Completed,"Debit Card"
QR10167,U819,2023-12-15,17:09:35,17,Friday,"Tech Park","Central Station",22.56,Completed,"Debit Card"
QR10168,U959,2023-10-13,15:55:48,15,Friday,Airport,Downtown/CBD,0,Cancelled,UPI
QR10169,U665,2023-11-27,17:23:47,17,Monday,"University Campus",Airport,22.62,Completed,UPI
QR10170,U543,2023-11-09,21:39:38,21,Thursday,"Tech Park","Hospital District",0,Cancelled,"Credit Card"
QR10171,U688,2023-12-26,21:46:25,21,Tuesday,"Suburban Residential","Tech Park",26.87,Completed,"Credit Card"
QR10172,U200,2023-12-13,18:19:50,18,Wednesday,Airport,Downtown/CBD,0,Cancelled,Wallet
QR10173,U920,2023-11-17,11:14:47,11,Friday,"University Campus","Suburban Residential",23.84,Completed,UPI
QR10174,U818,2023-11-06,01:46:14,1,Monday,Airport,Downtown/CBD,9.4,Completed,UPI
QR10175,U723,2023-10-05,11:11:14,11,Thursday,Downtown/CBD,"Central Station",15.19,Completed,"Debit Card"
QR10176,U388,2023-11-22,07:18:03,7,Wednesday,"University Campus","Central Station",9.11,Completed,UPI
QR10177,U395,2023-12-02,14:41:46,14,Saturday,Downtown/CBD,"University Campus",19.28,Completed,UPI
QR10178,U447,2023-10-24,01:04:04,1,Tuesday,"Hospital District","Suburban Residential",0,Cancelled,UPI
QR10179,U642,2023-11-03,21:14:50,21,Friday,"Tech Park","Central Station",35.78,Completed,"Credit Card"
QR10180,U214,2023-10-22,11:46:53,11,Sunday,"Suburban Residential","University Campus",26.93,Completed,UPI
QR10181,U769,2023-10-21,22:24:11,22,Saturday,"Shopping Mall","Tech Park",19.19,Completed,Wallet
QR10182,U520,2023-10-06,19:41:13,19,Friday,Airport,"Shopping Mall",34.29,Completed,"Credit Card"
QR10183,U457,2023-12-08,12:31:09,12,Friday,"Suburban Residential","Central Station",13.12,Completed,UPI
QR10184,U459,2023-12-26,18:03:01,18,Tuesday,Airport,"Shopping Mall",0,Cancelled,"Credit Card"
QR10185,U828,2023-10-07,18:40:49,18,Saturday,"Hospital District","University Campus",0,Cancelled,"Credit Card"
QR10186,U408,2023-11-29,23:10:52,23,Wednesday,"Shopping Mall","University Campus",19.96,Completed,UPI
QR10187,U762,2023-10-05,11:10:51,11,Thursday,"Tech Park","University Campus",22.66,Completed,Cash
QR10188,U191,2023-10-11,21:26:09,21,Wednesday,"Tech Park","Central Station",27.94,Completed,"Credit Card"
QR10189,U889,2023-10-22,17:13:14,17,Sunday,"University Campus","Tech Park",11.3,Completed,UPI
QR10190,U611,2023-12-26,21:57:14,21,Tuesday,"Hospital District","Central Station",31.82,Completed,"Debit Card"
QR10191,U867,2023-10-12,01:55:54,1,Thursday,"Shopping Mall","Tech Park",17.3,Completed,UPI
QR10192,U260,2023-12-24,12:13:58,12,Sunday,Airport,"Shopping Mall",19.6,Completed,Cash
QR10193,U713,2023-11-26,19:29:06,19,Sunday,"University Campus",Downtown/CBD,18.6,Completed,UPI
QR10194,U706,2023-11-01,16:39:45,16,Wednesday,Downtown/CBD,"Central Station",16.99,Completed,Wallet
QR10195,U356,2023-10-23,19:48:47,19,Monday,"Shopping Mall",Airport,22.08,Completed,UPI
QR10196,U643,2023-11-10,16:53:34,16,Friday,"Hospital District","Central Station",16.81,Completed,"Credit Card"
QR10197,U154,2023-10-22,17:03:15,17,Sunday,"Central Station","Suburban Residential",0,Cancelled,UPI
QR10198,U837,2023-11-12,08:41:04,8,Sunday,"Tech Park","University Campus",26.62,Completed,Cash
QR10199,U647,2023-10-31,19:45:35,19,Tuesday,"Central Station","Suburban Residential",25.7,Completed,UPI
QR10200,U904,2023-12-22,17:11:53,17,Friday,"Central Station","Shopping Mall",24.2,Completed,"Credit Card"
QR10201,U880,2023-10-14,16:42:22,16,Saturday,"Suburban Residential","Shopping Mall",27.38,Completed,"Debit Card"
QR10202,U994,2023-10-04,15:25:35,15,Wednesday,"Tech Park","Hospital District",0,Cancelled,UPI
QR10203,U623,2023-12-22,17:26:56,17,Friday,"Hospital District",Downtown/CBD,19.32,Completed,"Credit Card"
QR10204,U653,2023-12-21,14:31:53,14,Thursday,"Suburban Residential","Hospital District",25.57,Completed,"Debit Card"
QR10205,U400,2023-10-02,10:11:47,10,Monday,"Hospital District","University Campus",0,Cancelled,"Credit Card"
QR10206,U847,2023-10-29,16:30:24,16,Sunday,Downtown/CBD,"Central Station",8.92,Completed,UPI
QR10207,U781,2023-11-04,21:59:21,21,Saturday,"Central Station","Tech Park",24.68,Completed,UPI
QR10208,U376,2023-10-14,15:05:53,15,Saturday,Airport,Downtown/CBD,25.87,Completed,Wallet
QR10209,U174,2023-12-24,14:54:29,14,Sunday,"Central Station","Hospital District",19.55,Completed,Wallet
QR10210,U845,2023-10-20,06:35:15,6,Friday,Airport,"University Campus",15.08,Completed,UPI
QR10211,U439,2023-10-24,16:10:35,16,Tuesday,Airport,"Suburban Residential",0,Cancelled,"Credit Card"
QR10212,U294,2023-12-05,20:50:58,20,Tuesday,"Hospital District",Downtown/CBD,26.49,Completed,UPI
QR10213,U308,2023-12-25,07:24:15,7,Monday,Airport,"Shopping Mall",0,Cancelled,UPI
QR10214,U378,2023-11-29,11:21:03,11,Wednesday,"Central Station","Shopping Mall",22.94,Completed,Cash
QR10215,U818,2023-10-08,02:29:31,2,Sunday,"Shopping Mall",Downtown/CBD,14.35,Completed,UPI
QR10216,U509,2023-10-25,20:07:35,20,Wednesday,"Suburban Residential",Downtown/CBD,0,Cancelled,Cash
QR10217,U458,2023-12-09,20:42:04,20,Saturday,"Central Station","Shopping Mall",17.34,Completed,"Credit Card"
QR10218,U374,2023-11-16,06:44:03,6,Thursday,Downtown/CBD,Airport,15.76,Completed,"Debit Card"
QR10219,U149,2023-10-22,18:05:22,18,Sunday,"Suburban Residential","Hospital District",25.22,Completed,UPI
QR10220,U794,2023-11-05,15:52:30,15,Sunday,"Shopping Mall",Downtown/CBD,18.65,Completed,UPI
QR10221,U719,2023-11-24,17:33:16,17,Friday,"Hospital District","University Campus",0,Cancelled,Wallet
QR10222,U119,2023-11-09,12:47:36,12,Thursday,"Shopping Mall","Suburban Residential",17.45,Completed,"Debit Card"
QR10223,U184,2023-11-13,21:14:28,21,Monday,"Suburban Residential","Hospital District",14.86,Completed,UPI
QR10224,U989,2023-10-25,00:11:28,0,Wednesday,"Shopping Mall","University Campus",13.24,Completed,UPI
QR10225,U400,2023-11-13,09:38:30,9,Monday,Airport,"Suburban Residential",0,Cancelled,"Debit Card"
QR10226,U959,2023-11-02,18:35:10,18,Thursday,"University Campus","Tech Park",32,Completed,UPI
QR10227,U178,2023-11-19,21:22:56,21,Sunday,"Tech Park","Hospital District",31.28,Completed,Wallet
QR10228,U596,2023-12-19,12:31:17,12,Tuesday,"Suburban Residential","Hospital District",0,Cancelled,Wallet
QR10229,U895,2023-12-18,00:34:21,0,Monday,"Central Station","Shopping Mall",0,Cancelled,UPI
QR10230,U528,2023-11-27,16:42:50,16,Monday,"Tech Park","Hospital District",10.72,Completed,Wallet
QR10231,U123,2023-12-13,18:15:55,18,Wednesday,"University Campus","Suburban Residential",0,Cancelled,"Debit Card"
QR10232,U799,2023-10-22,13:31:45,13,Sunday,"University Campus",Downtown/CBD,14.81,Completed,Wallet
QR10233,U726,2023-11-25,08:55:33,8,Saturday,"Central Station","Suburban Residential",20.06,Completed,UPI
QR10234,U113,2023-11-26,14:52:42,14,Sunday,"University Campus","Tech Park",10.16,Completed,"Credit Card"
QR10235,U106,2023-12-09,11:09:37,11,Saturday,Airport,"Hospital District",27.32,Completed,"Credit Card"
QR10236,U416,2023-10-01,19:30:48,19,Sunday,Downtown/CBD,"Shopping Mall",13.97,Completed,UPI
QR10237,U388,2023-11-22,06:32:00,6,Wednesday,"Central Station","Suburban Residential",20.21,Completed,UPI
QR10238,U635,2023-10-23,11:29:46,11,Monday,"Suburban Residential",Downtown/CBD,26.77,Completed,"Credit Card"
QR10239,U486,2023-10-27,18:23:56,18,Friday,Airport,"Shopping Mall",17.89,Completed,Cash
QR10240,U322,2023-11-14,19:27:28,19,Tuesday,Airport,Downtown/CBD,15.58,Completed,UPI
QR10241,U552,2023-12-28,02:30:21,2,Thursday,"University Campus",Airport,25.25,Completed,Wallet
QR10242,U605,2023-12-22,16:38:59,16,Friday,Downtown/CBD,"Shopping Mall",14.24,Completed,UPI
QR10243,U113,2023-11-29,14:03:14,14,Wednesday,"Shopping Mall","Suburban Residential",0,Cancelled,UPI
QR10244,U543,2023-12-11,19:39:11,19,Monday,Downtown/CBD,Airport,34.33,Completed,"Credit Card"
QR10245,U619,2023-12-16,08:11:58,8,Saturday,"Tech Park","Hospital District",27.49,Completed,UPI
QR10246,U187,2023-10-23,08:58:45,8,Monday,"Hospital District","Central Station",15.76,Completed,"Credit Card"
QR10247,U435,2023-11-26,18:25:27,18,Sunday,Downtown/CBD,Airport,35.09,Completed,"Credit Card"
QR10248,U296,2023-12-19,08:20:28,8,Tuesday,"Hospital District",Downtown/CBD,22,Completed,UPI
QR10249,U844,2023-10-10,01:40:13,1,Tuesday,Downtown/CBD,"Tech Park",23.56,Completed,"Debit Card"
QR10250,U243,2023-11-03,18:15:22,18,Friday,"Tech Park","Central Station",36.32,Completed,UPI
QR10251,U723,2023-11-10,20:26:29,20,Friday,"Shopping Mall","University Campus",22.87,Completed,Cash
QR10252,U192,2023-10-01,19:16:08,19,Sunday,"Suburban Residential","Tech Park",15.12,Completed,"Debit Card"
